Banda,Umbral,RSRP (dBm),Radio exterior (km),Área exterior (km²),Radio interior (km),Área interior (km²)
800 MHz,excelente,-80,1.058,3.518,0.406,0.517
800 MHz,buena,-90,2.013,12.728,0.766,1.843
800 MHz,aceptable,-100,3.825,45.957,1.458,6.675
800 MHz,pobre,-110,7.283,166.63,2.773,24.152
800 MHz,sin_servicio,-120,13.868,604.188,5.276,87.455
1800 MHz,excelente,-80,0.425,0.568,0.162,0.082
1800 MHz,buena,-90,0.805,2.036,0.308,0.298
1800 MHz,aceptable,-100,1.536,7.407,0.581,1.06
1800 MHz,pobre,-110,2.929,26.943,1.117,3.917
1800 MHz,sin_servicio,-120,5.568,97.411,2.12,14.12
